"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"Kepler-1498 b",-0.861726647179672,-0.0572739653970547,0.48867596136291,-0.717105293733137,-0.217015875769225,-0.565729780617881,"non-habitable"
"Kepler-1499 b",-0.944044941698297,-0.0910097007227722,0.443511672268324,-0.738167704721039,-0.226420063284,-0.637348505326346,"non-habitable"
"Kepler-15 b",1.07985379679788,-0.461142091122493,-0.677356621110652,0.623289042543077,-0.160590750680574,-0.285896586198163,"non-habitable"
"Kepler-150 b",-0.894991955002278,-0.491884382179827,-0.839894257101845,0.796062198214093,-0.176264396538533,-0.324952484472015,"non-habitable"
"Kepler-150 c",-0.185119416662678,-0.4245410655791,-0.487367210383887,0.409384952903209,-0.176264396538533,-0.324952484472015,"non-habitable"
"Kepler-150 d",-0.387138407291561,-0.35453707218148,-0.22158420583757,0.139124908754657,-0.176264396538533,-0.324952484472015,"non-habitable"
"Kepler-150 e",-0.30827394438565,-0.172229750937003,0.249707776730973,-0.316859003783437,-0.176264396538533,-0.324952484472015,"non-habitable"
"Kepler-150 f",-0.194155897757282,1.3844993970649,1.90612777576987,-1.75070383293927,-0.176264396538533,-0.324952484472015,"non-habitable"
"Kepler-1500 b",-0.933841111467707,-0.320969389159784,-0.129074165265672,0.158671109853384,-0.157456021508982,-0.134567264250761,"non-habitable"
"Kepler-1501 b",-0.771840843644318,-0.310501216696227,-0.145743623650972,0.426181121423962,-0.0634141463612317,0.454983577715354,"non-habitable"
"Kepler-1502 b",-0.292823366490281,-0.0185166875386778,0.412177199955662,0.161222195683723,0.0682444788456193,1.25729609538528,"non-habitable"
"Kepler-1503 b",-0.528961885439243,0.187578860607811,0.866320156020462,-1.1658394319308,-0.238958979970366,-0.678174647488787,"non-habitable"
"Kepler-1504 b",-0.573481232618176,0.141166385181474,0.781264079170242,-0.948476692685215,-0.217015875769225,-0.524478771576365,"non-habitable"
"Kepler-1505 b",-1.16468114554851,-0.174489928397187,0.250304217997477,-0.346110384367597,-0.201342229911266,-0.371251567260471,"non-habitable"
"Kepler-1506 b",-0.866420458394102,-0.33700064442303,-0.164655562090383,0.106556344104988,-0.179399125710124,-0.291447178857536,"non-habitable"
"Kepler-1507 b",-1.2302458010905,-0.319704716375651,-0.0950786543509477,-0.0871664606865721,-0.204476959082858,-0.477594881326419,"non-habitable"
"Kepler-1508 b",-0.861726647179672,-0.245403095658698,0.0382728618740074,0.193844693532811,-0.0884919797339653,0.308913913806421,"non-habitable"
"Kepler-1509 b",-0.665627041440327,-0.21346336725821,0.147143332184549,-0.133694876518707,-0.160590750680574,-0.175310891925829,"non-habitable"
"Kepler-151 b",-0.321365997504439,-0.327965166935994,-0.122363412346512,-0.0669659244962441,-0.210746417426041,-0.482400700634545,"non-habitable"
"Kepler-151 c",-0.587626694025666,-0.232921162810877,0.131044312416493,-0.312417160927973,-0.210746417426041,-0.482400700634545,"non-habitable"
"Kepler-1510 b",-0.252940854049496,0.22912794137947,0.796954495185362,-0.486909705037732,-0.0696836047044151,0.412180323893339,"non-habitable"
"Kepler-1511 b",-0.725510705100924,-0.216246930819336,0.0992405671540058,0.147604269318021,-0.0665488755328234,0.350360480306382,"non-habitable"
"Kepler-1512 b",-0.954221966343491,-0.294365701025014,0.0293976706081782,-0.664437823385262,-0.260902084171508,-0.857429872449515,"non-habitable"
"Kepler-1513 b",0.449912241924815,0.521672819288416,1.14829896804706,-1.12839165071791,-0.166860209023758,-0.267543280925764,"non-habitable"
"Kepler-1514 b",0.712333330534745,0.784529380434101,1.31481528817575,-0.995540304533294,-0.0884919797339653,0.358644510835805,"non-habitable"
"Kepler-1515 b",0.544469304275168,0.79838068900824,1.30585592635723,-0.832987850130153,-0.0289321254737232,0.764377169995902,"non-habitable"
"Kepler-1516 b",-0.701115335052159,-0.421514456189618,-0.495512442740208,0.586300991313481,-0.135512917307841,-0.0177100455091968,"non-habitable"
"Kepler-1517 b",0.561756532972971,-0.428200814810156,-0.623941324291582,1.33774167775307,0.140343249792228,1.74716291255161,"non-habitable"
"Kepler-1518 b",-0.32400857397288,-0.438208750896859,-0.661865887677046,1.32170128985256,0.118400145591086,1.56203224054405,"non-habitable"
"Kepler-1519 b",0.309000105345911,0.766288218996339,1.36995074852837,-1.36143214079794,-0.185668584053308,-0.327580284658633,"non-habitable"
"Kepler-152 b",-0.387138407291561,-0.310408825888807,-0.0292614763933915,-0.334098169713855,-0.24522843831355,-0.690167285213063,"non-habitable"
"Kepler-152 c",-0.496146309101799,0.150800636053133,0.81938331442125,-1.13846411840028,-0.24522843831355,-0.690167285213063,"non-habitable"
"Kepler-1520 b",0.15335751460319,-0.56488778377945,-1.38406722062639,1.22304807441974,-0.248363167485142,-0.784283985171499,"non-habitable"
"Kepler-1521 b",-0.464491774319315,-0.0728907876503993,0.478411189482169,-0.804231454402589,-0.232689521627183,-0.668283578248136,"non-habitable"
"Kepler-1522 b",-0.709180276736973,-0.527297436859083,-1.08373185527521,1.14424258823444,-0.179399125710124,-0.279636606395121,"non-habitable"
"Kepler-1523 b",-0.76325860218268,-0.552496355460136,-1.29616435926637,1.51137271716833,-0.169994938195349,-0.242421491753065,"non-habitable"
"Kepler-1524 b",-0.214849932377036,0.146099857988402,0.700451605745892,-0.415866562652486,-0.0790877922191902,0.360526274773136,"non-habitable"
"Kepler-1525 b",-1.18180508322449,-0.510698424119474,-0.983149927542268,1.07656773279179,-0.144917104822616,-0.127201219147126,"non-habitable"
"Kepler-1526 b",-0.483349178293256,-0.492554685388053,-0.782973451471164,0.275690195412819,-0.254632625828325,-0.810180008642658,"non-habitable"
"Kepler-1527 b",0.00850795547799486,0.580164092992446,1.14571738428343,-0.785634942718419,-0.0571446880180484,0.478806358071585,"non-habitable"
"Kepler-1528 b",-0.81136153169859,-0.527112904611712,-1.09485727227853,1.26015558436198,-0.148051833994207,-0.0908711889767702,"non-habitable"
"Kepler-1529 b",-0.584069938664826,-0.464454863444933,-0.641695099330264,0.315829196816957,-0.229554792455591,-0.658496328794893,"non-habitable"
"Kepler-153 b",-0.353625994114248,-0.299499454688184,-0.0105353672760881,-0.110510875997914,-0.191938042396491,-0.437483166199883,"non-habitable"
"Kepler-153 c",-0.455211297007765,-0.074955629839537,0.475580405980956,-0.574676092570017,-0.191938042396491,-0.437483166199883,"non-habitable"
"Kepler-1530 b",-0.742113402347394,-0.511042777680701,-0.955732583209586,0.878241905118646,-0.195072771568083,-0.422705649647632,"non-habitable"
"Kepler-1530 c",-0.737936892335248,-0.459112031690763,-0.643118878019803,0.511526282230512,-0.195072771568083,-0.422705649647632,"non-habitable"
"Kepler-1531 b",-1.01455369406281,-0.543231510421188,-1.24198032865545,1.72242990491356,-0.0728183338760068,0.431776687797234,"non-habitable"
"Kepler-1532 b",-0.857052204338918,-0.548740870451868,-1.25369732302596,1.34292422404505,-0.195072771568083,-0.3936394317226,"non-habitable"
"Kepler-1533 b",-0.231303988879454,1.07823001692623,1.50640573329666,-0.986798907845189,0.00241516624219375,0.848604262365709,"non-habitable"
